Model,Parameter,PosteriorMean,PosteriorStd
GARCH-t,omega,0.10189568368157,NaN
GARCH-t,alpha,0.0786198252853478,NaN
GARCH-t,beta,0.88024025359457,NaN
GARCH-t,nu,4.71382506839529,NaN
GJR-t,omega,0.0761488126094177,NaN
GJR-t,alpha,0.00838136914713402,NaN
GJR-t,beta,0.897826935906836,NaN
GJR-t,gamma,0.178894103166438,NaN
GJR-t,nu,4.69150626099375,NaN
SVLT,mu,0.320164164069748,0.973919083482872
SVLT,phi,0.945417077294725,0.0443797087875129
SVLT,sigma_eta,0.2346794736193,0.0936125918055435
SVLT,rho,-0.2392601120344,0.270942499838784
SVLT,nu,10.5769638147435,6.98849194723876
SVLTRECH-SRN,mu,-1.79610813604995,0.943757275463727
SVLTRECH-SRN,phi,0.907151918177274,0.0343617347601024
SVLTRECH-SRN,sigma_eta,0.271589525017616,0.0941160076958579
SVLTRECH-SRN,rho,-0.244153595336352,0.210756764609753
SVLTRECH-SRN,nu,14.2661092444742,8.43970495598771
SVLTRECH-SRN,beta_0,0.183121016116098,0.113424184153677
SVLTRECH-SRN,beta_1,0.214917081434538,0.119912386469187
SVLTRECH-SRN,v_h,-0.00450028673122278,0.081327988279216
SVLTRECH-SRN,v_r,0.00410719384542616,0.0777660854261904
SVLTRECH-SRN,v_omega,-0.0386149777552936,0.102293359352165
SVLTRECH-SRN,v_z_1,0.0314636583686669,0.370713282835683
SVLTRECH-SRN,v_z_2,-0.298096340939897,0.351844540286353
SVLTRECH-SRN,w_h,0.00926903906448604,0.0738949482515135
SVLTRECH-SRN,b,-0.0169325875521129,0.0719119716564726
SVLTRECH-LSTM,mu,-2.25385030535983,0.868949255940167
SVLTRECH-LSTM,phi,0.883653805927278,0.0411287449260092
SVLTRECH-LSTM,sigma_eta,0.278895752740979,0.0939183029898014
SVLTRECH-LSTM,rho,-0.327307121239265,0.301943723560758
SVLTRECH-LSTM,nu,10.5906925023085,5.92172699304148
SVLTRECH-LSTM,beta_0,0.324717347488651,0.0723106935430189
SVLTRECH-LSTM,beta_1,0.196541892105415,0.0976658945851895
SVLTRECH-LSTM,Wf_h,0.0105326793812492,0.0795296139272204
SVLTRECH-LSTM,Wf_r,0.0333554707932557,0.0625043490577098
SVLTRECH-LSTM,Wf_omega,-0.0624188211041318,0.0898148614148963
SVLTRECH-LSTM,Wf_z1,-0.0300546736152916,0.0491566933644837
SVLTRECH-LSTM,Wf_z2,0.0489950833452341,0.0656154749489854
SVLTRECH-LSTM,uf,-0.0310639148987289,0.0717491639717163
